英文原文	真实法文	模型预测法文
Get ready for some action.	Préparez-vous à baiser.	<unk> pour un peu de <unk>
I guess I don't understand what you're trying to say.	Je suppose que je ne comprends pas ce que vous essayez de dire.	Je suppose que je ne comprends pas ce que vous essayez dire.
I don't know what else we should do.	J'ignore ce que nous devrions faire d'autre.	Je ne sais pas ce que nous devrions faire faire.
You must go to school.	Vous devez aller à l'école.	Tu dois aller à l'école.
I just want to make sure we all agree.	Je veux juste m'assurer que nous sommes toutes d'accord.	Je veux juste m'assurer que nous nous sommes toutes d'accord.
How can that be?	Comment cela se peut-il ?	Comment cela peut-il être ?
I figured I might find you here.	Je me suis imaginé que je pourrais te trouver là.	Je me suis imaginée que je pourrais trouver ici.
I fell sound asleep before I knew it.	Je suis tombé de sommeil avant de m'en rendre compte.	Je suis tombé <unk> avant que je le <unk>
He pretends to be deaf.	Il prétend être sourd.	Il <unk>
This cow is not branded.	Cette vache n'est pas marquée.	Ce <unk> n'est pas <unk>
I want to go abroad.	Je veux aller à l'étranger.	Je veux aller à l'étranger.
She had already gone to bed when I called her at 11 p.m.	Elle était déjà allée se coucher quand je lui ai téléphoné à 23 h.	Elle avait déjà rendu visite tôt quand je lui ai appelé à la <unk>
I don't have a passport.	Je n'ai pas de passeport.	Je n'ai pas de passeport.
I am accustomed to staying up late.	Je suis habitué à veiller tard.	Je suis habitué à veiller tard.
Who wants tea?	Qui veut du thé ?	Qui veut <unk> ?
The game starts at two tomorrow afternoon.	Le match commence à deux heures demain après-midi.	Le jeu commence à six heures demain après-midi.
Tom can't help me.	Tom ne peut pas m'aider.	Tom ne peut pas m'aider.
Human beings, whether they realise it or not, continually seek happiness.	Les êtres humains, qu'ils en prennent conscience ou pas, recherchent continuellement le bonheur.	Les <unk> <unk> <unk> <unk> ils se <unk> ou non, <unk> <unk>
I rang the doorbell.	J'ai sonné à la porte.	J'ai fait le <unk>
I'm going to stop trying to be friendly with you.	Je vais arrêter d'essayer d'être amical à votre égard.	Je vais arrêter de faire attention avec toi.
I'm allergic to corn.	Je suis allergique au maïs.	Je suis allergique aux <unk>
This dog is almost human.	Ce chien est presque humain.	Ce chien est presque <unk>
I'm impatient.	Je suis impatient.	Je suis impatient.
Is there something you want to ask me?	Y a-t-il quelque chose que tu veuilles me demander ?	Y a-t-il quelque chose que tu veux me demander ?
Bread is made from wheat.	Le pain est fait à partir de blé.	Tout le monde est <unk>
You have such beautiful eyes.	Tu as de tellement beaux yeux.	Tu as une belle lettre.
I hope that I'll see her.	J'espère pouvoir la voir.	J'espère que je le <unk>
What could they possibly want us to do?	Que pourraient-ils bien vouloir que nous fassions ?	Que nous pourrions nous faire ?
Who are you and what do you want?	Qui es-tu et qu'est-ce que tu veux ?	Qui êtes-vous et voulez-vous ce que vous voulez ?
It'll be hard to convince Tom to help us.	Ça va être compliqué de convaincre Tom de nous aider.	Ça sera dur de convaincre Tom pour nous aider.
I don't want to know what's going to happen.	Je ne veux pas savoir ce qu'il va se passer.	Je ne veux pas savoir ce qui se passe.
It happened that we were on the same bus.	Il se trouvait qu'on était dans le même bus.	Il s'est passé que nous étions sur le même bus.
Even though she was busy, she came to see me.	Bien qu'elle fut occupée, elle vint me voir.	Bien qu'elle était occupée, elle est venu me voir.
The girl trembled with fear.	La fille tremblait de peur.	La fille <unk> avec peur.
The investment firm tricked customers into buying worthless stock.	La société d'investissements a dupé des clients en leur faisant acheter des actions sans valeur.	Les <unk> ont <unk> de nombreux <unk> dans le <unk>
What foods are you allergic to?	À quels aliments êtes-vous allergiques ?	Quels aliments sont les allergique ?
They teased the new student.	Ils ont taquiné la nouvelle étudiante.	Elles ont appuyé le nouveau étudiant.
I'm sorry to bother you so often.	Je suis désolé de vous ennuyer si souvent.	Je suis désolé de vous déranger si souvent.
What's the plan?	Quel est le plan ?	Quelle est le plan ?
They lived in a very small house at the end of a long, gray street.	Ils vivaient dans une toute petite maison au bout d'une longue rue grise.	Ils vivaient dans une petite maison dans la fin de la rue.
I was attacked and robbed on my way home.	J'ai été attaqué et dévalisé sur le chemin de la maison.	J'étais <unk> et j'ai été chez moi.
Please tell me. I really want to hear it.	S'il te plait dis-le-moi. Je veux vraiment l'entendre.	Veuillez me dire vraiment je veux vraiment l'entendre.
Will you watch the Olympics?	Regarderez-vous les Jeux Olympiques ?	<unk> la <unk> ?
I need a pencil.	J'ai besoin d'un crayon.	J'ai besoin d'un crayon.
If what you say is true, it follows that he has an alibi.	Si ce que vous dites est vrai, il s'ensuit qu'il a un alibi.	Si ce que tu dis est vrai, il y a une <unk>
A crowd soon gathered around the fire engine.	La foule se rassembla bientôt autour du camion de pompier.	Un foule <unk> autour de <unk> autour de feu <unk>
I just don't understand you.	Je ne vous comprends tout simplement pas.	Je ne comprends pas de le comprendre.
How much time do you spend on Facebook?	Combien de temps passez-vous sur Facebook ?	Combien de temps passes-tu sur le <unk> ?
That's not what I said at all.	Ce n'est pas du tout ce que j'ai dit.	Ce n'est pas ce que je voulais dire.
I'm from Tokyo, Japan.	Je viens de Tokyo, Japon.	Je suis en train de jouer au Japon.
Her condition grew worse last night.	Sa santé a empiré la nuit dernière.	Sa santé s'est <unk> la nuit dernière.
They don't get along together.	Ils ne s'entendent pas ensemble.	Elles ne <unk> pas.
Who was the first person to break the four-minute mile?	Qui fut la première personne à pulvériser le mille en quatre minutes ?	Qui a été la première personne à la première <unk> <unk> ?
Everybody knows that he lost his leg in the war.	Tout le monde sait qu'il a perdu sa jambe à la guerre.	Tout le monde sait qu'il perdit son jambe dans la guerre.
I'll take care of you.	Je prendrai soin de vous.	Je m'occuperai de vous.
Don't shut your eyes.	Ne ferme pas les yeux !	Ne <unk> pas tes yeux.
I hope that's a joke.	J'espère que c'est une blague.	J'espère que c'est une blague.
Why not just quit?	Pourquoi ne pas simplement arrêter ?	Pourquoi ne <unk> pas de la maison.
I can't talk about that.	Je ne peux pas en parler.	Je ne peux pas parler à ça.
I enjoy music.	J'apprécie la musique.	J'apprécie la musique.
Please do not buy it.	Ne l'achète pas, je te prie !	Veuillez le faire de ne pas le faire.
He studied to be a doctor.	Il a étudié pour être médecin.	Il doit être médecin.
Is there something you want to ask me?	Y a-t-il quelque chose que vous vouliez me demander ?	Y a-t-il quelque chose que tu veux me demander ?
He is not strong as before.	Il n'est plus aussi fort qu'avant.	Il n'est pas aussi fort qu'avant.
I have to look for my pen.	Je dois chercher mon stylo.	Je dois avoir l'air mon stylo.
I'm halfway through this crime novel.	Je suis à mi-chemin de ce roman policier.	Je suis <unk> de ce crime <unk>
She didn't try to translate the letter.	Elle n'essaya pas de traduire la lettre.	Elle n'a pas tenté de traduire la lettre.
Tom has to work on his own.	Tom doit travailler seul.	Tom doit travailler sur son <unk>
I don't think I can do anything.	Je ne pense pas que je puisse faire quoi que ce soit.	Je ne pense pas que je puisse faire quoi que ce soit.
I can't love anyone but you.	Je ne peux en aimer d'autre que toi.	Je ne peux pas vous fier mais vous <unk>
You can have either of these, but not both.	Tu peux avoir l'un ou l'autre, mais pas les deux.	Tu peux avoir des <unk> mais <unk> pas.
I had no choice but to do what he asked.	Je n'avais pas d'autre choix que de faire ce qu'il demandait.	Je n'avais pas d'autre choix de faire ce qu'il a demandé.
I heard it on TV.	Je l'ai entendu à la télé.	Je l'ai entendu la télé.
I must make an apology to her.	Je dois lui présenter mes excuses.	Je dois faire une <unk>
That's a secret I can't tell you.	C'est un secret que je ne peux pas te dire.	C'est un secret je ne peux pas te dire ça.
A river runs down through the valley.	Une rivière s'écoule dans la vallée.	Un fleuve <unk> <unk> les <unk>
I have nothing else to wear.	Je n'ai rien d'autre à mettre.	Je n'ai rien d'autre à manger.
I'm indebted to you.	J'ai une dette envers toi.	Je suis <unk>
Finally, he reached his goal.	Il a finalement atteint son objectif.	Finalement, il a atteint son but.
Don't push it.	Pousse pas le bouchon !	Ne le <unk> pas.
How'd you find it?	Comment le trouverais-tu ?	Je te trouve le trouver ?
Maybe he won't become famous.	Peut-être ne deviendra-t-il pas célèbre.	Peut-être qu'il ne deviendra pas célèbre.
We are looking for a nice house to live in.	Nous cherchons une belle maison pour y habiter.	Nous sommes allés pour une belle maison à droite.
I'm too fat.	Je suis trop gros.	Je suis trop gras.
Did you mention my book?	As-tu mentionné mon livre ?	Avez-vous mentionné mon livre ?
I heard someone calling my name.	J'entendis quelqu'un appeler mon nom.	J'ai entendu quelqu'un appeler mon nom.
We're satisfied.	Nous sommes satisfaits.	Nous sommes satisfaite.
I borrowed money not only from Tom, but from his wife, too.	J'ai emprunté de l'argent non seulement à Tom, mais aussi à sa femme.	Je suis <unk> de ne pas seulement de la blâmer mais Tom, mais de son argent.
He misses his family very much.	Sa famille lui manque terriblement.	Il est tombée son famille beaucoup.
People are looking at us.	Les gens nous regardent.	Les gens nous <unk>
He apologized profusely.	Il se confondit en excuses.	Il présenta <unk>
I bought her a nice Christmas present.	Je lui ai acheté un beau cadeau de Noël.	J'ai acheté une belle fille.
Where were you when the explosion occurred?	Où vous trouviez-vous lorsque l'explosion est survenue ?	Où étiez-vous quand le film se trouve ?
I thought we could use the cloth napkins.	J'ai pensé que nous pourrions utiliser les serviettes en tissu.	Je pensais que nous pourrions utiliser le <unk>
He works in a call center.	Il travaille dans un centre d'appels.	Il travaille dans un appel <unk>
Life could be so easy.	La vie pourrait être tellement facile.	La vie pourrait être aussi aisé.
She kept crying all night.	Elle a continué à pleurer toute la nuit.	Elle continua tout le coup de nuit.
A girl drowned in the pond yesterday.	Une fille s'est noyée dans la mare hier.	Un fille s'est <unk> dans le <unk> hier.
It was that dog that bit my hand.	C'est ce chien là-bas qui m'a mordu la main.	C'était cette chien qui a été <unk>
We should study.	Nous devrions étudier.	Nous devrions étudier.
We'll never know who he is.	On ne saura jamais qui il est.	Nous ne savons jamais qui il est.
The horse ran through the fields.	Le cheval traversait les champs au galop.	Le cheval a couru <unk> la <unk>
I'm dehydrated.	Je suis déshydraté.	Je suis <unk>
I just want to make sure that his offer has no strings attached.	Je veux juste m'assurer que sa proposition n'est pas un cadeau empoisonné.	Je veux juste m'assurer que son offre compte de <unk>
Mary is studying in her room.	Mary est en train d'étudier dans sa chambre.	Marie est en train de ranger sa chambre.
Why are you interested?	Pourquoi êtes-vous intéressé ?	Pourquoi êtes-vous intéressés ?
It's about time I was going home.	Il est temps que je rentre chez moi.	Il est temps de temps que je vais chez moi.
His family emigrated to the United States.	Sa famille émigra aux États-Unis d'Amérique.	Sa famille a <unk> à la route.
I tried to help him.	J'ai essayé de l'aider.	J'ai essayé de l'aider.
I am interested in Japanese history.	Je suis intéressé par l'Histoire japonaise.	Je suis intéressé par des Japonais <unk>
Where will the bus pick us up?	Où le bus va-t-il nous prendre ?	Où se <unk> le bus ?
Do you want some sugar in your coffee?	Veux-tu du sucre dans ton café ?	Veux-tu quelques-unes dans votre sucre ?
I think we should quit.	Je pense que nous devrions arrêter.	Je pense que nous devrions démissionner.
Please say hello to your parents.	Merci de saluer tes parents.	Veuillez dire bonjour tes parents.
Go and see who it is.	Allez voir qui c'est.	Allez voir qui c'est qui c'est !
I was new.	J'étais nouveau.	J'étais neuf.
My girlfriend was crying.	Ma petite copine pleurait.	Ma petite copine était pleurer.
I was burned.	J'ai été brûlée.	J'étais <unk>
Be sensible.	Soyez raisonnable !	Sois <unk>
Do you think students are given enough time to eat lunch?	Pensez-vous qu'on alloue suffisamment de temps aux étudiants pour déjeuner ?	Penses-tu que étudiants sont assez de temps pour déjeuner ?
We wouldn't want to disobey the teacher, would we?	Nous n'aimerions pas désobéir au professeur, n'est-ce pas ?	Nous ne voulons pas <unk> la <unk>
I like surprises.	J'aime les surprises.	J'aime les surprises.
Everyone started clapping.	Tout le monde s'est mis à applaudir.	Tout le monde commença à <unk>
He's an interpreter in an international bank.	C'est un interprète dans une banque internationale.	Il est un <unk> dans un magasin <unk>
What changes should we expect?	À quels changements devrions-nous nous attendre ?	Que devrions-nous nous devrions <unk> ?
I couldn't prevent Tom from eating all the cookies.	Je n'ai pas pu empêcher Tom de manger tous les gâteaux.	Je n'ai pas pu traduire Tom de manger tout le fait.
It happened in Rome.	Ça s'est passé à Rome.	Il s'est passé dans Rome.
We were worried we might miss the train.	Nous avions peur de rater notre train.	Nous étions inquiets que nous pourrions rater le train.
I have only half as many books as he does.	Je ne dispose que de moitié moins de livres que lui.	Je n'ai plus longtemps que beaucoup de livres qu'il ne <unk>
He also needs many workers.	Il a également besoin de nombreux travailleurs.	Il a vraiment beaucoup de nombreux <unk>
My father and mother were sitting under a tree.	Mon père et ma mère étaient assis sous un arbre.	Mon père et ma mère était assis sous un arbre.
He had an accident.	Il eut un accident.	Il avait une accident.
You ought to be ashamed.	Tu devrais avoir honte !	Tu devrais être d'accord.
Come with me now.	Viens avec moi maintenant.	Venez avec moi maintenant.
Could you move the chair a bit?	Pourrais-tu bouger un peu la chaise ?	Peux-tu bouger le chaise à la chaise ?
It was superb.	Ce fut magnifique.	C'était <unk>
He decided to sell the car.	Il a décidé de vendre sa voiture.	Il décida de vendre la voiture.
Tell me the reason you were absent from school yesterday.	Dites-moi la raison pour laquelle vous étiez absent de l'école hier.	Dis-moi la raison de raison de l'école, de l'école hier.
I have nothing to lose.	Je n'ai rien à perdre.	Je n'ai rien à perdre.
Is it clean?	Est-ce propre ?	Est-ce <unk> ?
I have a ten-year old son.	J'ai un fils de dix ans.	J'ai une vieille <unk> <unk>
You wanted this, didn't you?	Vous vouliez cela, n'est-ce pas ?	Tu voulais ceci, n'est-ce pas ?
I'm sorry to bother you so often.	Je suis désolé de vous déranger si souvent.	Je suis désolé de vous déranger si souvent.
An innocent man was arrested by mistake.	Un homme innocent a été arrêté par erreur.	Un homme était <unk> par erreur.
Keep the dog out.	Laisse le chien dehors.	Gardez la chien !
He is just right for the job.	Il est parfait pour le poste.	Il est juste juste pour le travail.
I can't wait for spring to come so we can sit under the cherry trees.	J'ai hâte que le printemps arrive afin que l'on puisse s'asseoir sous les cerisiers.	Je ne peux pas attendre pour retourner si nous pouvons être <unk>
I think we may have met somewhere before.	Je pense que nous nous sommes peut-être rencontrées quelque part auparavant.	Je pense que nous nous avons rencontré quelque chose auparavant.
Can you say that again?	Peux-tu répéter cela ?	Peux-tu dire cela ?
She can handle it.	Elle sait s'y prendre.	Elle peut le gérer.
I want to be alone for a while.	Je veux être un moment seule.	Je veux être seul pour un moment.
Could you lend me a hand?	Pourrais-tu me prêter main forte ?	Pourriez-vous me prêter un <unk> ?
Giving up isn't the answer.	Abandonner n'est pas la réponse.	<unk> n'est pas le réponse.
It is less muggy today than it was yesterday.	Il fait moins lourd aujourd'hui qu'hier.	Il est moins <unk> que c'était qu'hier.
I must have the wrong number.	Je dois avoir le mauvais numéro.	Je dois supporter la numéro.
You ran a red light.	Tu es passée au feu rouge.	Vous êtes <unk> rouge.
Stop screaming.	Cessez de hurler !	Arrête de hurler !
She pleaded with him to not leave.	Elle l'implora de ne pas partir.	Elle lui a <unk> avec ne pas partir.
You are the one.	Vous êtes celui-là.	Vous êtes le un.
I know that I'm supposed to enjoy this class, but I don't.	Je sais que je suis censée aimer ce cours, mais ce n'est pas le cas.	Je sais que je suis censé aimer ce cours, mais je <unk> mais je suis folle.
No one's going to save you now.	Personne ne va désormais te sauver.	Personne ne va te sauver.
Could you tell me your name again?	Pourriez-vous me dire votre nom, à nouveau ?	Pourrais-tu me dire votre nom ?
Do you have plans for dinner?	As-tu des projets pour le souper ?	Avez-vous du temps pour dîner ?
Can I dial direct?	Puis-je composer directement le numéro ?	Puis-je <unk> <unk> ?
I asked him where I should park my car.	Je lui ai demandé où je pourrais garer ma voiture.	Je lui ai demandé où je devrais garer ma voiture.
Where could he be?	Où pourrait-il se trouver ?	Où pourrait être ?
His garden is a work of art.	Son jardin est une œuvre d'art.	Sa jardin est un travail de l'art.
He thinks he's so great.	Il pense qu'il est tellement important.	Il pense qu'il est tellement <unk>
Tom would be jealous.	Tom serait jaloux.	Tom serait jaloux.
As soon as I've finished doing that, I'll help you.	Dès que j'ai terminé de faire ça, je t'aiderai.	Aussitôt que je le <unk> je vais faire confiance.
Would you excuse us one moment?	Vous voulez bien nous excuser un moment ?	Voudrais-tu nous <unk> une autre chose ?
He did not have enough money.	Il n'avait pas assez d'argent.	Il n'a pas eu assez d'argent.
It's weird.	C'est bizarre.	C'est bizarre.
You should apologize.	Tu devrais présenter tes excuses.	Tu devrais présenter mes excuses.
Are you close to your family?	Êtes-vous proche de votre famille ?	Es-tu en vacances votre famille ?
I feel empowered.	Je me sens investie de pouvoir.	Je me sens <unk>
What was the first concert you went to?	Quel a été le premier concert auquel tu es allé ?	Quel était le premier concert auquel vous êtes allée ?
No one will know.	Personne ne saura.	Personne ne le savoir.
You said you didn't care.	Vous dîtes que vous vous en fichiez.	Vous avez dit que vous ne l'avez pas <unk>
It's not going to end well.	Ça ne va pas bien finir.	Il ne va pas bien <unk>
I knew you'd be caught.	Je savais que tu te ferais attrapé.	Je savais que vous seriez <unk>
It's on the sofa.	C'est sur le canapé.	C'est sur la canapé.
They're very smart.	Ils sont très intelligents.	Elles sont très intelligentes.
He left for America the day before yesterday.	Il est parti pour l'Amérique avant-hier.	Il partit pour la journée avant avant-hier.
Everything went black.	Tout devint noir.	Tout le monde est amusant.
I leave it up to you.	Je vous laisse en décider.	Je te laisse tomber.
I know what you want to do.	Je sais ce que tu veux faire.	Je sais ce que tu veux faire.
What does this painting represent?	Que représente ce tableau ?	Que signifie cette peinture <unk> ?
I'm glad to see that you're studying harder than you used to.	Je me réjouis de voir que tu étudies avec davantage d'application que tu ne le faisais.	Je suis heureux de voir que vous ayez le plus dur que vous ne <unk>
I'll give you a ride home.	Je te conduirai chez toi.	Je te reconduirai chez toi.
How about running?	Que penseriez-vous de courir ?	Que dis-tu de se <unk> ?
Please remember to turn off the light before going to bed.	Je te prie de te rappeler d'éteindre la lumière avant d'aller au lit.	Je te prie de tourner la lumière avant d'aller dormir.
He has no house to live in.	Il n'a pas de foyer.	Il n'a pas de maison à la maison.
You're precise.	Vous êtes précis.	Vous êtes <unk>
He's a rather rare individual.	C'est un individu plutôt rare.	Il est plutôt <unk>
I cannot stand this noise.	Je ne peux pas supporter ce bruit.	Je ne peux pas supporter ce bruit.
What do you think of the new teacher?	Que pensez-vous du nouvel instituteur ?	Que pensez-vous de la nouvelle enseignant ?
I'm very sad to hear that.	Je suis très triste d'entendre cela.	Je suis très triste d'entendre cela.
Please come pick up your package at the reception.	Veuillez venir récupérer vos colis à la réception.	Veuillez venir votre grand-père à <unk> le poste.
I don't even know why.	J'ignore même pourquoi.	Je ne sais même pas pourquoi.
They left the problem unsolved.	Ils ont laissé le problème irrésolu.	Elles ont laissé la problème <unk>
If you could come, I'd be really happy.	Si vous pouviez venir, je serais vraiment heureux.	Si vous pouviez venir, je serais vraiment heureux.
He worked long into the night.	Il a travaillé jusque tard dans la nuit.	Il travailla de longs dans la nuit.
We lost all of our money.	Nous avons perdu tout notre argent.	Nous avons perdu nos argent.
No one knew it.	Personne ne le sut.	Personne ne le savait
Christmas is coming soon.	Bientôt Noël.	Noël arrive bientôt.
We listened to her for some time.	Nous l'écoutâmes quelque temps.	Nous devons emmener pour son temps.
Why are you making me do this?	Pourquoi me fais-tu faire ceci ?	Pourquoi me fais-tu ça ?
I'll buy this.	Je vais acheter celui-ci.	Je vais acheter ça.
You must pay attention to his advice.	Tu dois prêter attention à ses conseils.	Tu dois payer attention à son conseil.
Tom promised me that tonight he'd sing that new song he wrote.	Tom m'a promis que ce soir il chanterait cette nouvelle chanson qu'il a écrite.	Tom m'a promis qu'il ait regardé ce nouveau roman qu'il a <unk>
I'd like a shrimp cocktail.	J'aimerais un cocktail de crevettes.	J'aimerais un <unk>
Would you like to swap jobs?	Voudriez-vous échanger nos emplois ?	Aimeriez-vous <unk> <unk> ?
I'll stop gambling.	J'arrêterai de jouer.	Je <unk>
You're very skeptical.	Vous êtes très sceptique.	Vous êtes très <unk>
My father is very angry with me.	Mon père est très en colère après moi.	Mon père est très fâché avec moi.
I'm going to go take a nap.	Je vais piquer un somme.	Je vais aller prendre un <unk>
All the names are listed in alphabetical order.	Tous les noms sont listés dans l'ordre alphabétique.	Tous les <unk> sont <unk> dans des <unk>
I think that I should organize a little party.	Je crois que je devrais organiser une petite fête.	Je pense que je devrais faire un peu de la fête.
He hired a private investigator.	Il a engagé un détective privé.	Il a <unk> un <unk> <unk>
I need advice.	J'ai besoin de conseils.	J'ai besoin de conseils.
Am I supposed to thank you?	Suis-je supposé vous remercier ?	Est-ce que je te dérange pour vous remercier ?
I had a very tight schedule last week, but this week I'm relatively free.	J'ai eu un programme très chargé la semaine dernière, mais cette semaine, je suis relativement libre.	J'ai eu une petite amie <unk> mais j'ai fait le semaine dernière.
You're much prettier than I remember.	Vous êtes bien plus jolie que dans mon souvenir.	Vous êtes beaucoup plus <unk> que je ne le <unk>
Who are you supposed to be?	Qui es-tu supposée être ?	Qui êtes-vous supposé être ?
Sewing is manual work.	Coudre, c'est du travail manuel.	Le <unk> est <unk>
I wish I were rich.	Je souhaite être riche.	J'aimerais avoir riche.
That's not even funny.	Ce n'est même pas drôle.	Ce n'est même pas drôle.
Do you want me to ask Tom?	Vous voulez que je demande à Tom ?	Veux-tu me demander à Tom ?
Death is similar to sleep.	La mort ressemble au sommeil.	La France est similaire à dormir.
There's no guarantee that the stock will go up.	Il n'y aucune garantie que l'action va monter.	Il n'y a pas de <unk> cette action.
I bought her some drinks.	Je lui payai quelques verres.	J'ai acheté son examen.
That's an excellent point.	C'est un excellent argument.	C'est un excellent <unk>
I am not too tired.	Je ne suis pas trop fatigué.	Je ne suis pas trop fatigué.
He delayed answering the letter.	Il a retardé la réponse à cette lettre.	Il a retardé la lettre.
This custom began in the Edo Period.	Cette coutume a commencé durant l'ère Edo.	Ce <unk> commença à <unk>
The dog barked.	Le chien aboyait.	Le chien <unk>
There's no way to win.	Il n'y a pas moyen de gagner.	Il n'y a pas moyen de gagner.
I am sick.	Je suis malade.	Je suis malade.
I'll give you five dollars.	Je te donnerai cinq dollars.	Je te reconduirai cinq dollars.
Is it still raining?	Pleut-il encore ?	Est-ce toujours <unk> ?
You should not go alone.	Vous ne devriez pas y aller seules.	Vous ne devriez pas aller seul.
She talks to her sister on the phone for hours at a time.	Elle téléphone à sa sœur des heures durant.	Elle parle sa sœur sur le téléphone pour le téléphone.
I'm patient.	Je suis patiente.	Je suis patient.
They are willing to help us out.	Ils veulent bien nous aider.	Elles sont prêts nous aider.
Did you see anyone suspicious?	Avez-vous vu qui que ce soit de suspect ?	Avez-vous vu quelqu'un ?
You're out of booze.	Vous êtes à sec.	Vous êtes hors de <unk>
It's Claudine's house.	C'est la maison de Claudine.	C'est <unk>
Don't waste your time and money.	Ne gaspille pas ton temps ni ton argent.	Ne gaspille pas votre temps et l'argent.
Who would you like to speak to?	Avec qui désireriez-vous vous entretenir ?	Qui voudrait parler ?
I have no energy today.	Je n'ai pas d'énergie, aujourd'hui.	Je n'ai pas de l'énergie aujourd'hui.
You're not normal.	Vous n'êtes pas normaux.	Vous n'êtes pas normal.
You probably eat genetically modified fruits and vegetables all the time without knowing it.	Vous mangez probablement tout le temps des fruits et des légumes génétiquement modifiés sans le savoir.	Tu manges probablement <unk> <unk> <unk> <unk> et légumes sans <unk>
Now for my next number, I'd like to play a song for you that I learned from my father.	Alors, pour ma suivante, j'aimerais vous interpréter une chanson que j'ai apprise de mon père.	Maintenant mon prochain <unk> j'aimerais que je <unk> je <unk> mon bureau pour mon père.
I thought it would be an opportunity for you to improve your French.	J'ai pensé que ce serait une occasion pour toi d'améliorer ton français.	Je pensais que ça serait un point de vous améliorer votre français.
She is five years younger than me.	Elle a cinq ans de moins que moi.	Elle est cinq ans plus jeune que moi.
It was excruciating.	Ça a été extrêmement douloureux.	C'était <unk>
Do what I say.	Fais ce que je dis.	Fais ce que je dis.
Don't ask me such a hard question.	Ne me pose pas une question si difficile.	Ne me demandez pas de si un truc !
He was condemned to death.	Il fut condamné à mort.	Il était <unk> à mort.
Those standing were all men.	Ceux qui se tenaient debout étaient tous des hommes.	Ces debout étaient toutes les hommes.
Please write down my address.	Veuillez prendre note de mon adresse.	Veuillez noter mon adresse.
I've never done this in my life.	Je n'ai jamais fait ça de ma vie.	Je n'ai jamais fait ça dans ma vie.
The sun is shining in the sky.	Le soleil brille dans le ciel.	Le soleil est <unk> dans le ciel.
Perhaps he could solve this problem.	Peut-être qu'il peut résoudre ce problème.	Peut-être qu'il pourrait résoudre ce problème.
I want to know who started it.	Je veux savoir qui l'a commencée.	Je veux savoir qui le <unk>
How long have you been abroad?	Combien de temps es-tu resté à l'étranger ?	Combien de temps êtes-vous <unk> ?
I'll have lunch waiting for you.	J'aurai un déjeuner qui t'attendra.	Je devrai le déjeuner pour toi.
You're not missing much.	Tu ne rates pas grand chose.	Vous n'êtes pas <unk>
I told you not to call me at work.	Je t'ai dit de ne pas m'appeler au travail.	Je t'ai dit de ne pas m'appeler à travailler.
You're going to be OK.	Vous allez vous remettre.	Vous allez être <unk>
Mary has beautiful brown eyes.	Marie a de beaux yeux marron.	Marie a une belle <unk>
Drop your gun!	Laisse tomber ton arme !	Laisse ton <unk>
That's going to cost you a lot of money.	Ça va te coûter beaucoup d'argent.	Ça va te faire beaucoup d'argent.
Tom spoke calmly.	Tom parla calmement.	Tom a parlé de <unk>
You're so picky.	Vous êtes tellement difficiles !	Vous êtes tellement <unk>
We spent a lot of time on our lessons.	Nous avons consacré beaucoup de temps à nos leçons.	Nous avons passé beaucoup de temps à notre vie.
That's why I called you.	C'est pourquoi je vous ai appelé.	C'est pourquoi je t'ai appelée.
Something did happen, didn't it?	Quelque chose s'est passé, n'est-ce pas ?	Quelque chose ne se <unk> pas <unk>
Thank you for your letter.	Merci pour ta lettre.	Merci pour votre lettre.
I will be sixteen next birthday.	J'aurai 16 ans à mon prochain anniversaire.	Je serai <unk> le prochain côté.
You must be exhausted.	Vous devez être épuisées.	Tu dois être épuisé.
Bring me today's paper, please.	Apportez-moi le journal du jour, s'il vous plaît.	Apporte-moi la recherche s'il vous plaît.
I continued singing.	Je continuai à chanter.	Je <unk>
Let go of my arm.	Lâche mon bras.	Lâche-moi mon bras !
You can't attend? Why not?	Tu ne peux pas y assister ? Pourquoi pas ?	Vous ne pouvez pas <unk>
We're so glad to have you here.	Nous sommes tellement contents de vous avoir ici !	Nous sommes tellement contents ici.
It works.	Elle marche.	Ça fonctionne.
My sister is suffering from a bad cold.	Ma sœur souffre d'un mauvais rhume.	Ma sœur est de mauvaise humeur.
I was trying to be supportive.	J'essayais d'encourager.	J'essayais d'être <unk>
Take a break.	Fais une pause !	Prenez une pause.
I don't care where we eat dinner. It's entirely up to you.	Où nous mangeons m'est indifférent. Je m'en remets complètement à toi.	Je me fiche où nous mangeons davantage de dîner.
They're stalling.	Ils sont en train de gagner du temps.	Elles sont <unk>
Don't kid yourself. You couldn't afford to buy a house like this.	Arrête de te la raconter ! Tu n'aurais pas les moyens d'acheter une maison pareille.	Ne <unk> pas de vous n'auriez pas pu acheter une maison comme ça.
They're free.	Ils sont libres.	Elles sont libres.
His behavior is very odd today.	Son comportement est très étrange aujourd'hui.	Sa comportement est très <unk> aujourd'hui.
I probably speak French better than Tom.	Je parle probablement mieux français que Tom	Je parle probablement français que Tom.
If I were you, I would stay quiet.	Si j'étais toi, je resterais tranquille.	Si j'étais vous, je <unk>
Be sure to bring rain gear.	Assure-toi de prendre une tenue pour la pluie !	Assurez-vous à pleuvoir de pluie <unk>
I asked him his name.	Je me suis enquise de son nom.	Je lui ai demandé son nom.
His play was a hit.	Sa pièce de théâtre fit un tabac.	Sa <unk> était un succès.
